Task name: Communicating
expired: 2406
completed: 583513
Task name: Exception Handling
expired: 18
completed: 5551
Task name: Paperwork
expired: 0
completed: 141579
Task name: Maintenance of Way Interactions
expired: 1
completed: 8447
Task name: Temporary Speed Restrictions
expired: 390
completed: 40833
Task name: Signal Response Management
expired: 602
completed: 53244
Task name: Monitoring Inside
expired: 0
completed: 212614
Task name: Monitoring Outside
expired: 0
completed: 190230
Task name: Planning Ahead
expired: 369
completed: 150817
